CountryName,H1B,H1B1,124361
Algeria,28,0,
Angola,5,0,
Benin,7,0,
Botswana,12,0,
Burkina Faso,12,0,
Burundi,2,0,
Cameroon,63,0,
Cape Verde,1,0,
Central African Republic,1,0,
Chad,6,0,
Comoros,1,0,
Republic of the Congo,0,0,
Democratic Republic of the Congo,19,0,
Cote dIvoire ,51,0,
Djibouti,1,0,
Egypt,276,0,
Equatorial Guinea,1,0,
Eritrea,5,0,
Ethiopia,23,0,
Gabon,2,0,
The Gambia,3,0,
Ghana,195,0,
Guinea,11,0,
Guinea-Bissau,1,0,
Kenya,281,0,
Lesotho,1,0,
Liberia,5,0,
Libya,2,0,
Madagascar,5,0,
Malawi,11,0,
Mali,10,0,
Mauritania,5,0,
Mauritius,36,0,
Morocco,127,0,
Mozambique,0,0,
Namibia,3,0,
Niger,4,0,
Nigeria,438,0,
Rwanda,3,0,
Sao Tome and Principe,0,0,
Senegal,71,0,
Seychelles,1,0,
Sierra Leone,18,0,
Somalia,0,0,
South Africa,784,0,
Sudan,15,0,
Swaziland,2,0,
Tanzania,72,0,
Togo,8,0,
Tunisia,44,0,
Uganda,41,0,
Zambia,21,0,
Zimbabwe,82,0,
Afghanistan,4,0,
Bahrain,15,0,
Bangladesh,287,0,
Bhutan,2,0,
Brunei,3,0,
Burma,41,0,
Cambodia,4,0,
China,7113,0,
Taiwan,2483,0,
Hong Kong,374,0,
India,53579,0,
Indonesia,831,0,
Iran,194,0,
Iraq,65,0,
Israel,1355,0,
Japan,4073,0,
Jordan,253,0,
North Korea,1,0,
South Korea,3838,0,
Kuwait,6,0,
Laos,1,0,
Lebanon,354,0,
Macau,19,0,
Malaysia,967,0,
Maldives,0,0,
Mongolia,28,0,
Nepal,278,0,
Oman,4,0,
Pakistan,1117,0,
Palestinian Authority Travel Document,16,0,
Philippines,2849,0,
Qatar,2,0,
Saudi Arabia,24,0,
Singapore,561,199,
Sri Lanka,447,0,
Syria,86,0,
Thailand,551,0,
Timor-Leste,0,0,
United Arab Emirates,6,0,
Vietnam,112,0,
Yemen,5,0,
Albania,77,0,
Andorra,0,0,
Armenia,73,0,
Austria,233,0,
Azerbaijan,37,0,
Belarus,125,0,
Belgium,270,0,
Bosnia and Herzegovina,82,0,
Bulgaria,573,0,
Croatia,125,0,
Cyprus,86,0,
Czech Republic,222,0,
Denmark,248,0,
Estonia,49,0,
Finland,152,0,
France,2627,0,
Georgia,75,0,
Germany,2550,0,
Great Britain and Northern Ireland,5617,0,
Greece,316,0,
Hungary,237,0,
Iceland,46,0,
Ireland,731,0,
Italy,1125,0,
Kazakhstan,78,0,
Kyrgyzstan,16,0,
Latvia,58,0,
Liechtenstein,3,0,
Lithuania,113,0,
Luxembourg,14,0,
Macedonia,37,0,
Malta,11,0,
Moldova,59,0,
Monaco,0,0,
Netherlands,568,0,
Norway,186,0,
Poland,570,0,
Portugal,163,0,
Romania,693,0,
Russia,1240,0,
San Marino,0,0,
Serbia and Montenegro,380,0,
Slovakia,179,0,
Slovenia,26,0,
Spain,1075,0,
Sweden,548,0,
Switzerland,412,0,
Tajikistan,5,0,
Turkey,1772,0,
Turkmenistan,4,0,
Ukraine,373,0,
Uzbekistan,37,0,
Vatican City,0,0,
Antigua and Barbuda,8,0,
The Bahamas,178,0,
Barbados,72,0,
Belize,29,0,
Canada,47,0,
Costa Rica,170,0,
Cuba,3,0,
Dominica,23,0,
Dominican Republic,204,0,
El Salvador,73,0,
Grenada,23,0,
Guatemala,140,0,
Haiti,39,0,
Honduras,108,0,
Jamaica,487,0,
Mexico,2505,0,
Nicaragua,35,0,
Panama,153,0,
Saint Kitts and Nevis,22,0,
Saint Lucia,23,0,
Saint Vincent and the Grenadines,7,0,
Trinidad and Tobago,322,0,
Australia,1392,0,
Fiji,3,0,
Kiribati,1,0,
Marshall Islands,0,0,
Federated States of Micronesia,0,0,
Nauru,0,0,
New Zealand,388,0,
Palau,0,0,
Papua New Guinea,1,0,
Samoa,0,0,
Solomon Islands,1,0,
Tonga,1,0,
Tuvalu,0,0,
Vanuatu,0,0,
Argentina,1517,0,
Bolivia,123,0,
Brazil,1972,0,
Chile,278,76,
Colombia,1849,0,
Ecuador,342,0,
Guyana,56,0,
Paraguay,40,0,
Peru,692,0,
Suriname,7,0,
Uruguay,118,0,
Venezuela,1574,0,
