CountryName,H1B,H1B1,110978
Algeria,12,0,
Angola,5,0,
Benin,8,0,
Botswana,7,0,
Burkina Faso,19,0,
Burundi,6,0,
Cameroon,74,0,
Cape Verde,0,0,
Central African Republic,0,0,
Chad,11,0,
Comoros,0,0,
Republic of the Congo,2,0,
Democratic Republic of the Congo,14,0,
Cote dIvoire,23,0,
Djibouti,0,0,
Egypt,260,0,
Equatorial Guinea,1,0,
Eritrea,4,0,
Ethiopia,61,0,
Gabon,6,0,
The Gambia,2,0,
Ghana,176,0,
Guinea,6,0,
Guinea-Bissau,1,0,
Kenya,281,0,
Lesotho,1,0,
Liberia,6,0,
Libya,6,0,
Madagascar,9,0,
Malawi,8,0,
Mali,13,0,
Mauritania,5,0,
Mauritius,30,0,
Morocco,81,0,
Mozambique,1,0,
Namibia,1,0,
Niger,9,0,
Nigeria,546,0,
Rwanda,7,0,
Sao Tome and Principe,0,0,
Senegal,62,0,
Seychelles,0,0,
Sierra Leone,6,0,
Somalia,0,0,
South Africa,381,0,
Sudan,12,0,
Swaziland,3,0,
Tanzania,60,0,
Togo,5,0,
Tunisia,41,0,
Uganda,40,0,
Zambia,21,0,
Zimbabwe,92,0,
Afghanistan,1,0,
Bahrain,4,0,
Bangladesh,213,0,
Bhutan,3,0,
Brunei,0,0,
Burma,39,0,
Cambodia,6,0,
China,9223,0,
Taiwan,2057,0,
Hong Kong,283,0,
India,55886,0,
Indonesia,694,0,
Iran,129,0,
Iraq,10,0,
Israel,758,0,
Japan,2505,0,
Jordan,218,0,
North Korea,0,0,
South Korea,3233,0,
Kuwait,5,0,
Laos,0,0,
Lebanon,342,0,
Macau,15,0,
Malaysia,603,0,
Maldives,0,0,
Mongolia,32,0,
Nepal,466,0,
Oman,4,0,
Pakistan,838,0,
Palestinian Authority Travel Document,18,0,
Philippines,3676,0,
Qatar,1,0,
Saudi Arabia,24,0,
Singapore,380,302,
Sri Lanka,233,0,
Syria,97,0,
Thailand,375,0,
Timor-Leste,0,0,
United Arab Emirates,4,0,
Vietnam,264,0,
Yemen,9,0,
Albania,81,0,
Andorra,1,0,
Armenia,38,0,
Austria,156,0,
Azerbaijan,29,0,
Belarus,96,0,
Belgium,163,0,
Bosnia and Herzegovina,45,0,
Bulgaria,382,0,
Croatia,85,0,
Cyprus,52,0,
Czech Republic,124,0,
Denmark,119,0,
Estonia,30,0,
Finland,70,0,
France,1662,0,
Georgia,50,0,
Germany,1523,0,
Great Britain and Northern Ireland,2901,0,
Greece,289,0,
Hungary,154,0,
Iceland,44,0,
Ireland,454,0,
Italy,867,0,
Kazakhstan,43,0,
Kosovo,12,0,
Kyrgyzstan,24,0,
Latvia,41,0,
Liechtenstein,1,0,
Lithuania,71,0,
Luxembourg,3,0,
Macedonia,30,0,
Malta,3,0,
Moldova,56,0,
Monaco,1,0,
Montenegro,7,0,
Netherlands,344,0,
Norway,82,0,
Poland,377,0,
Portugal,127,0,
Romania,419,0,
Russia,695,0,
San Marino,0,0,
Serbia  ,125,0,
Serbia and Montenegro,114,0,
Slovakia,86,0,
Slovenia,32,0,
Spain,776,0,
Sweden,293,0,
Switzerland,222,0,
Tajikistan,11,0,
Turkey,1466,0,
Turkmenistan,19,0,
Ukraine,220,0,
Uzbekistan,43,0,
Vatican City,0,0,
Antigua and Barbuda,9,0,
The Bahamas,122,0,
Barbados,77,0,
Belize,25,0,
Canada,45,0,
Costa Rica,123,0,
Cuba,2,0,
Dominica,19,0,
Dominican Republic,182,0,
El Salvador,62,0,
Grenada,21,0,
Guatemala,94,0,
Haiti,22,0,
Honduras,90,0,
Jamaica,489,0,
Mexico,2190,0,
Nicaragua,32,0,
Panama,102,0,
Saint Kitts and Nevis,17,0,
Saint Lucia,25,0,
Saint Vincent and the Grenadines,14,0,
Trinidad and Tobago,276,0,
Australia,442,0,
Fiji,6,0,
Kiribati,0,0,
Marshall Islands,0,0,
Federated States of Micronesia,0,0,
Nauru,0,0,
New Zealand,232,0,
Palau,0,0,
Papua New Guinea,1,0,
Samoa,1,0,
Solomon Islands,0,0,
Tonga,2,0,
Tuvalu,0,0,
Vanuatu,0,0,
Argentina,753,0,
Bolivia,130,0,
Brazil,1466,0,
Chile,204,319,
Colombia,1181,0,
Ecuador,236,0,
Guyana,45,0,
Paraguay,35,0,
Peru,497,0,
Suriname,6,0,
Uruguay,81,0,
Venezuela,770,0,
