CountryName,H1B,H1B1,153777
Algeria,14,0,
Angola,8,0,
Benin,4,0,
Botswana,6,0,
Burkina Faso,12,0,
Burundi,7,0,
Cameroon,66,0,
Cape Verde,0,0,
Central African Republic,1,0,
Chad,1,0,
Comoros,0,0,
Republic of the Congo,1,0,
Democratic Republic of the Congo,10,0,
Cote dIvoire,25,0,
Djibouti,0,0,
Egypt,228,0,
Equatorial Guinea,1,0,
Eritrea,2,0,
Ethiopia,30,0,
Gabon,6,0,
The Gambia,4,0,
Ghana,143,0,
Guinea,3,0,
Guinea-Bissau,0,0,
Kenya,178,0,
Lesotho,3,0,
Liberia,2,0,
Libya,16,0,
Madagascar,17,0,
Malawi,5,0,
Mali,8,0,
Mauritania,3,0,
Mauritius,25,0,
Morocco,69,0,
Mozambique,3,0,
Namibia,6,0,
Niger,3,0,
Nigeria,456,0,
Rwanda,10,0,
Sao Tome and Principe,0,0,
Senegal,52,0,
Seychelles,0,0,
Sierra Leone,4,0,
Somalia,0,0,
South Africa,312,0,
South Sudan,2,0,
Sudan,15,0,
Swaziland,4,0,
Tanzania,49,0,
Togo,6,0,
Tunisia,21,0,
Uganda,24,0,
Zambia,20,0,
Zimbabwe,77,0,
Afghanistan,9,0,
Bahrain,5,0,
Bangladesh,189,0,
Bhutan,5,0,
Brunei,2,0,
Burma,35,0,
Cambodia,17,0,
China,12632,0,
Taiwan,1560,0,
Hong Kong,268,0,
India,99705,0,
Indonesia,509,0,
Iran,160,0,
Iraq,7,0,
Israel,661,0,
Japan,1698,0,
Jordan,218,0,
North Korea,0,0,
South Korea,3000,0,
Kuwait,11,0,
Laos,2,0,
Lebanon,210,0,
Macau,15,0,
Malaysia,493,0,
Maldives,2,0,
Mongolia,28,0,
Nepal,512,0,
Oman,6,0,
Pakistan,636,0,
Palestinian Authority Travel Document,24,0,
Philippines,2160,0,
Qatar,2,0,
Saudi Arabia,44,0,
Singapore,330,261,
Sri Lanka,244,0,
Syria,60,0,
Thailand,302,0,
Timor-Leste,0,0,
United Arab Emirates,3,0,
Vietnam,387,0,
Yemen,0,0,
Albania,42,0,
Andorra,1,0,
Armenia,44,0,
Austria,146,0,
Azerbaijan,44,0,
Belarus,134,0,
Belgium,159,0,
Bosnia and Herzegovina,30,0,
Bulgaria,265,0,
Croatia,74,0,
Cyprus,40,0,
Czech Republic,94,0,
Denmark,130,0,
Estonia,22,0,
Finland,86,0,
France,1782,0,
Georgia,27,0,
Germany,1274,0,
Great Britain and Northern Ireland,2699,0,
Greece,374,0,
Hungary,147,0,
Iceland,49,0,
Ireland,694,0,
Italy,1086,0,
Kazakhstan,72,0,
Kosovo,12,0,
Kyrgyzstan,23,0,
Latvia,42,0,
Liechtenstein,3,0,
Lithuania,59,0,
Luxembourg,3,0,
Macedonia,36,0,
Malta,5,0,
Moldova,49,0,
Monaco,1,0,
Montenegro,11,0,
Netherlands,289,0,
Norway,62,0,
Poland,308,0,
Portugal,185,0,
Romania,327,0,
Russia,878,0,
San Marino,1,0,
Serbia  ,229,0,
Slovakia,84,0,
Slovenia,28,0,
Spain,888,0,
Sweden,266,0,
Switzerland,163,0,
Tajikistan,8,0,
Turkey,1080,0,
Turkmenistan,23,0,
Ukraine,349,0,
Uzbekistan,46,0,
Vatican City,0,0,
Antigua and Barbuda,8,0,
The Bahamas,118,0,
Barbados,37,0,
Belize,28,0,
Canada,51,0,
Costa Rica,117,0,
Cuba,4,0,
Dominica,21,0,
Dominican Republic,157,0,
El Salvador,79,0,
Grenada,26,0,
Guatemala,80,0,
Haiti,9,0,
Honduras,99,0,
Jamaica,240,0,
Mexico,3686,0,
Nicaragua,39,0,
Panama,68,0,
Saint Kitts and Nevis,11,0,
Saint Lucia,18,0,
Saint Vincent and the Grenadines,13,0,
Trinidad and Tobago,196,0,
Australia,416,0,
Fiji,1,0,
Kiribati,0,0,
Marshall Islands,0,0,
Federated States of Micronesia,0,0,
Nauru,0,0,
New Zealand,197,0,
Palau,0,0,
Papua New Guinea,2,0,
Samoa,0,0,
Solomon Islands,0,0,
Tonga,0,0,
Tuvalu,0,0,
Vanuatu,0,0,
Argentina,487,0,
Bolivia,77,0,
Brazil,1451,0,
Chile,187,310,
Colombia,787,0,
Ecuador,202,0,
Guyana,14,0,
Paraguay,22,0,
Peru,361,0,
Suriname,5,0,
Uruguay,56,0,
Venezuela,750,0,
