CountryName,H1B,H1B1,129544
Algeria,17,0,
Angola,2,0,
Benin,5,0,
Botswana,13,0,
Burkina Faso,12,0,
Burundi,2,0,
Cameroon,67,0,
Cape Verde,1,0,
Central African Republic,0,0,
Chad,3,0,
Comoros,0,0,
Republic of the Congo,1,0,
Democratic Republic of the Congo,13,0,
Cote dIvoire,23,0,
Djibouti,0,0,
Egypt,273,0,
Equatorial Guinea,0,0,
Eritrea,2,0,
Ethiopia,35,0,
Gabon,10,0,
The Gambia,3,0,
Ghana,170,0,
Guinea,6,0,
Guinea-Bissau,0,0,
Kenya,219,0,
Lesotho,1,0,
Liberia,3,0,
Libya,9,0,
Madagascar,13,0,
Malawi,9,0,
Mali,6,0,
Mauritania,3,0,
Mauritius,27,0,
Morocco,69,0,
Mozambique,3,0,
Namibia,7,0,
Niger,6,0,
Nigeria,509,0,
Rwanda,7,0,
Sao Tome and Principe,0,0,
Senegal,54,0,
Seychelles,1,0,
Sierra Leone,11,0,
Somalia,0,0,
South Africa,378,0,
South Sudan,0,0,
Sudan,19,0,
Swaziland,5,0,
Tanzania,48,0,
Togo,7,0,
Tunisia,16,0,
Uganda,34,0,
Zambia,20,0,
Zimbabwe,102,0,
Afghanistan,8,0,
Bahrain,4,0,
Bangladesh,163,0,
Bhutan,3,0,
Brunei,2,0,
Burma,40,0,
Cambodia,12,0,
China,10849,0,
Taiwan,1705,0,
Hong Kong,269,0,
India,72438,0,
Indonesia,674,0,
Iran,170,0,
Iraq,11,0,
Israel,774,0,
Japan,2054,0,
Jordan,208,0,
North Korea,0,0,
South Korea,3501,0,
Kuwait,6,0,
Laos,1,0,
Lebanon,267,0,
Macau,12,0,
Malaysia,556,0,
Maldives,3,0,
Mongolia,31,0,
Nepal,516,0,
Oman,7,0,
Pakistan,592,0,
Palestinian Authority Travel Document,17,0,
Philippines,2369,0,
Qatar,2,0,
Saudi Arabia,25,0,
Singapore,394,171,
Sri Lanka,228,0,
Syria,81,0,
Thailand,330,0,
Timor-Leste,0,0,
United Arab Emirates,0,0,
Vietnam,321,0,
Yemen,7,0,
Albania,69,0,
Andorra,0,0,
Armenia,52,0,
Austria,182,0,
Azerbaijan,41,0,
Belarus,117,0,
Belgium,225,0,
Bosnia and Herzegovina,30,0,
Bulgaria,352,0,
Croatia,70,0,
Cyprus,43,0,
Czech Republic,122,0,
Denmark,182,0,
Estonia,29,0,
Finland,126,0,
France,2069,0,
Georgia,50,0,
Germany,1627,0,
Great Britain and Northern Ireland,3660,0,
Greece,334,0,
Hungary,156,0,
Iceland,42,0,
Ireland,671,0,
Italy,1095,0,
Kazakhstan,72,0,
Kosovo,11,0,
Kyrgyzstan,16,0,
Latvia,41,0,
Liechtenstein,2,0,
Lithuania,70,0,
Luxembourg,7,0,
Macedonia,26,0,
Malta,4,0,
Moldova,73,0,
Monaco,1,0,
Montenegro,17,0,
Netherlands,437,0,
Norway,98,0,
Poland,372,0,
Portugal,192,0,
Romania,411,0,
Russia,883,0,
San Marino,1,0,
Serbia  ,224,0,
Serbia and Montenegro,0,0,
Slovakia,114,0,
Slovenia,22,0,
Spain,962,0,
Sweden,339,0,
Switzerland,268,0,
Tajikistan,8,0,
Turkey,1332,0,
Turkmenistan,24,0,
Ukraine,352,0,
Uzbekistan,48,0,
Vatican City,0,0,
Antigua and Barbuda,10,0,
The Bahamas,142,0,
Barbados,58,0,
Belize,25,0,
Canada,88,0,
Costa Rica,122,0,
Cuba,3,0,
Dominica,15,0,
Dominican Republic,186,0,
El Salvador,87,0,
Grenada,24,0,
Guatemala,83,0,
Haiti,30,0,
Honduras,111,0,
Jamaica,362,0,
Mexico,2647,0,
Nicaragua,29,0,
Panama,79,0,
Saint Kitts and Nevis,9,0,
Saint Lucia,27,0,
Saint Vincent and the Grenadines,11,0,
Trinidad and Tobago,243,0,
Australia,537,0,
Fiji,9,0,
Kiribati,0,0,
Marshall Islands,0,0,
Federated States of Micronesia,0,0,
Nauru,0,0,
New Zealand,290,0,
Palau,0,0,
Papua New Guinea,0,0,
Samoa,0,0,
Solomon Islands,0,0,
Tonga,0,0,
Tuvalu,0,0,
Vanuatu,0,0,
Argentina,675,0,
Bolivia,108,0,
Brazil,1614,0,
Chile,199,247,
Colombia,934,0,
Ecuador,197,0,
Guyana,26,0,
Paraguay,33,0,
Peru,457,0,
Suriname,4,0,
Uruguay,77,0,
Venezuela,910,0,
