CountryName,H1B,H1B1,117808
Algeria,15,0,
Angola,12,0,
Benin,10,0,
Botswana,7,0,
Burkina Faso,15,0,
Burundi,4,0,
Cameroon,79,0,
Cape Verde,0,0,
Central African Republic,0,0,
Chad,7,0,
Comoros,0,0,
Republic of the Congo,2,0,
Democratic Republic of the Congo,14,0,
Cote dIvoire,34,0,
Djibouti,0,0,
Egypt,228,0,
Equatorial Guinea,0,0,
Eritrea,3,0,
Ethiopia,42,0,
Gabon,6,0,
The Gambia,2,0,
Ghana,219,0,
Guinea,2,0,
Guinea-Bissau,0,0,
Kenya,259,0,
Lesotho,4,0,
Liberia,5,0,
Libya,5,0,
Madagascar,13,0,
Malawi,9,0,
Mali,14,0,
Mauritania,2,0,
Mauritius,26,0,
Morocco,68,0,
Mozambique,1,0,
Namibia,6,0,
Niger,8,0,
Nigeria,517,0,
Rwanda,10,0,
Sao Tome and Principe,1,0,
Senegal,54,0,
Seychelles,2,0,
Sierra Leone,6,0,
Somalia,0,0,
South Africa,397,0,
Sudan,13,0,
Swaziland,2,0,
Tanzania,69,0,
Togo,15,0,
Tunisia,28,0,
Uganda,32,0,
Zambia,22,0,
Zimbabwe,92,0,
Afghanistan,0,0,
Bahrain,8,0,
Bangladesh,158,0,
Bhutan,1,0,
Brunei,1,0,
Burma,47,0,
Cambodia,13,0,
China,11242,0,
Taiwan,2061,0,
Hong Kong,331,0,
India,58664,0,
Indonesia,748,0,
Iran,137,0,
Iraq,8,0,
Israel,786,0,
Japan,2430,0,
Jordan,211,0,
North Korea,0,0,
South Korea,3656,0,
Kuwait,6,0,
Laos,1,0,
Lebanon,295,0,
Macau,21,0,
Malaysia,648,0,
Maldives,2,0,
Mongolia,42,0,
Nepal,488,0,
Oman,7,0,
Pakistan,693,0,
Palestinian Authority Travel Document,21,0,
Philippines,3173,0,
Qatar,0,0,
Saudi Arabia,18,0,
Singapore,483,168,
Sri Lanka,236,0,
Syria,76,0,
Thailand,408,0,
Timor-Leste,0,0,
United Arab Emirates,2,0,
Vietnam,305,0,
Yemen,8,0,
Albania,75,0,
Andorra,1,0,
Armenia,47,0,
Austria,169,0,
Azerbaijan,38,0,
Belarus,93,0,
Belgium,167,0,
Bosnia and Herzegovina,33,0,
Bulgaria,376,0,
Croatia,78,0,
Cyprus,53,0,
Czech Republic,119,0,
Denmark,157,0,
Estonia,16,0,
Finland,101,0,
France,1951,0,
Georgia,51,0,
Germany,1639,0,
Great Britain and Northern Ireland,3553,0,
Greece,293,0,
Hungary,150,0,
Iceland,42,0,
Ireland,616,0,
Italy,1068,0,
Kazakhstan,61,0,
Kosovo,16,0,
Kyrgyzstan,29,0,
Latvia,38,0,
Liechtenstein,0,0,
Lithuania,92,0,
Luxembourg,2,0,
Macedonia,31,0,
Malta,7,0,
Moldova,71,0,
Monaco,0,0,
Montenegro,10,0,
Netherlands,405,0,
Norway,95,0,
Poland,379,0,
Portugal,187,0,
Romania,415,0,
Russia,692,0,
San Marino,0,0,
Serbia  ,212,0,
Serbia and Montenegro,22,0,
Slovakia,101,0,
Slovenia,17,0,
Spain,809,0,
Sweden,320,0,
Switzerland,234,0,
Tajikistan,13,0,
Turkey,1421,0,
Turkmenistan,20,0,
Ukraine,292,0,
Uzbekistan,64,0,
Vatican City,0,0,
Antigua and Barbuda,12,0,
The Bahamas,140,0,
Barbados,51,0,
Belize,27,0,
Canada,39,0,
Costa Rica,150,0,
Cuba,2,0,
Dominica,27,0,
Dominican Republic,145,0,
El Salvador,78,0,
Grenada,35,0,
Guatemala,70,0,
Haiti,22,0,
Honduras,89,0,
Jamaica,386,0,
Mexico,2494,0,
Nicaragua,49,0,
Panama,114,0,
Saint Kitts and Nevis,14,0,
Saint Lucia,16,0,
Saint Vincent and the Grenadines,12,0,
Trinidad and Tobago,259,0,
Australia,495,0,
Fiji,6,0,
Kiribati,0,0,
Marshall Islands,0,0,
Federated States of Micronesia,0,0,
Nauru,0,0,
New Zealand,255,0,
Palau,0,0,
Papua New Guinea,0,0,
Samoa,0,0,
Solomon Islands,0,0,
Tonga,0,0,
Tuvalu,0,0,
Vanuatu,0,0,
Argentina,727,0,
Bolivia,110,0,
Brazil,1613,0,
Chile,255,251,
Colombia,1114,0,
Ecuador,231,0,
Guyana,36,0,
Paraguay,36,0,
Peru,539,0,
Suriname,5,0,
Uruguay,68,0,
Venezuela,911,0,
