CountryName,H1B,H1B1,135976
Algeria,8,0,
Angola,6,0,
Benin,10,0,
Botswana,14,0,
Burkina Faso,11,0,
Burundi,2,0,
Cameroon,72,0,
Cape Verde,0,0,
Central African Republic,0,0,
Chad,2,0,
Comoros,0,0,
Republic of the Congo,2,0,
Democratic Republic of the Congo,16,0,
Cote dIvoire,24,0,
Djibouti,0,0,
Egypt,273,0,
Equatorial Guinea,2,0,
Eritrea,3,0,
Ethiopia,49,0,
Gabon,7,0,
The Gambia,2,0,
Ghana,153,0,
Guinea,4,0,
Guinea-Bissau,0,0,
Kenya,248,0,
Lesotho,3,0,
Liberia,4,0,
Libya,13,0,
Madagascar,17,0,
Malawi,2,0,
Mali,6,0,
Mauritania,1,0,
Mauritius,18,0,
Morocco,70,0,
Mozambique,2,0,
Namibia,3,0,
Niger,4,0,
Nigeria,483,0,
Rwanda,8,0,
Sao Tome and Principe,0,0,
Senegal,40,0,
Seychelles,0,0,
Sierra Leone,7,0,
Somalia,0,0,
South Africa,397,0,
South Sudan,1,0,
Sudan,15,0,
Swaziland,3,0,
Tanzania,57,0,
Togo,6,0,
Tunisia,39,0,
Uganda,51,0,
Zambia,15,0,
Zimbabwe,98,0,
Afghanistan,14,0,
Bahrain,12,0,
Bangladesh,181,0,
Bhutan,4,0,
Brunei,1,0,
Burma,48,0,
Cambodia,14,0,
China,11077,0,
Taiwan,1692,0,
Hong Kong,292,0,
India,80630,0,
Indonesia,609,0,
Iran,164,0,
Iraq,12,0,
Israel,754,0,
Japan,1907,0,
Jordan,225,0,
North Korea,0,0,
South Korea,3131,0,
Kuwait,15,0,
Laos,0,0,
Lebanon,256,0,
Macau,19,0,
Malaysia,523,0,
Maldives,2,0,
Mongolia,26,0,
Nepal,524,0,
Oman,5,0,
Pakistan,613,0,
Palestinian Authority Travel Document,29,0,
Philippines,2026,0,
Qatar,0,0,
Saudi Arabia,42,0,
Singapore,375,212,
Sri Lanka,214,0,
Syria,59,0,
Thailand,284,0,
Timor-Leste,0,0,
United Arab Emirates,4,0,
Vietnam,341,0,
Yemen,4,0,
Albania,59,0,
Andorra,1,0,
Armenia,58,0,
Austria,153,0,
Azerbaijan,38,0,
Belarus,139,0,
Belgium,195,0,
Bosnia and Herzegovina,32,0,
Bulgaria,330,0,
Croatia,70,0,
Cyprus,49,0,
Czech Republic,125,0,
Denmark,146,0,
Estonia,21,0,
Finland,95,0,
France,1855,0,
Georgia,40,0,
Germany,1446,0,
Great Britain and Northern Ireland,3019,0,
Greece,318,0,
Hungary,160,0,
Iceland,41,0,
Ireland,699,0,
Italy,1165,0,
Kazakhstan,76,0,
Kosovo,14,0,
Kyrgyzstan,21,0,
Latvia,52,0,
Liechtenstein,1,0,
Lithuania,60,0,
Luxembourg,8,0,
Macedonia,38,0,
Malta,7,0,
Moldova,56,0,
Monaco,3,0,
Montenegro,20,0,
Netherlands,374,0,
Norway,86,0,
Poland,389,0,
Portugal,207,0,
Romania,381,0,
Russia,914,0,
San Marino,0,0,
Serbia  ,248,0,
Serbia and Montenegro,0,0,
Slovakia,82,0,
Slovenia,26,0,
Spain,885,0,
Sweden,360,0,
Switzerland,233,0,
Tajikistan,15,0,
Turkey,1168,0,
Turkmenistan,22,0,
Ukraine,393,0,
Uzbekistan,58,0,
Vatican City,0,0,
Antigua and Barbuda,8,0,
The Bahamas,134,0,
Barbados,59,0,
Belize,23,0,
Canada,51,0,
Costa Rica,149,0,
Cuba,2,0,
Dominica,20,0,
Dominican Republic,155,0,
El Salvador,68,0,
Grenada,22,0,
Guatemala,81,0,
Haiti,15,0,
Honduras,105,0,
Jamaica,282,0,
Mexico,3543,0,
Nicaragua,41,0,
Panama,70,0,
Saint Kitts and Nevis,16,0,
Saint Lucia,18,0,
Saint Vincent and the Grenadines,8,0,
Trinidad and Tobago,240,0,
Australia,427,0,
Fiji,3,0,
Kiribati,0,0,
Marshall Islands,0,0,
Federated States of Micronesia,0,0,
Nauru,0,0,
New Zealand,251,0,
Palau,0,0,
Papua New Guinea,0,0,
Samoa,0,0,
Solomon Islands,0,0,
Tonga,0,0,
Tuvalu,0,0,
Vanuatu,1,0,
Argentina,525,0,
Bolivia,89,0,
Brazil,1583,0,
Chile,209,249,
Colombia,904,0,
Ecuador,218,0,
Guyana,26,0,
Paraguay,26,0,
Peru,376,0,
Suriname,6,0,
Uruguay,64,0,
Venezuela,847,0,
