CountryName,H1B,H1B1,135847
Algeria,21,0,
Angola,10,0,
Benin,6,0,
Botswana,16,0,
Burkina Faso,16,0,
Burundi,1,0,
Cameroon,77,0,
Cape Verde,4,0,
Central African Republic,0,0,
Chad,10,0,
Comoros,0,0,
Republic of the Congo,0,0,
Democratic Republic of the Congo,24,0,
Cote dIvoire,38,0,
Djibouti,0,0,
Egypt,316,0,
Equatorial Guinea,1,0,
Eritrea,2,0,
Ethiopia,41,0,
Gabon,1,0,
The Gambia,7,0,
Ghana,230,0,
Guinea,13,0,
Guinea-Bissau,1,0,
Kenya,344,0,
Lesotho,0,0,
Liberia,3,0,
Libya,3,0,
Madagascar,4,0,
Malawi,10,0,
Mali,16,0,
Mauritania,2,0,
Mauritius,26,0,
Morocco,153,0,
Mozambique,3,0,
Namibia,5,0,
Niger,7,0,
Nigeria,483,0,
Rwanda,12,0,
Sao Tome and Principe,0,0,
Senegal,80,0,
Seychelles,3,0,
Sierra Leone,17,0,
Somalia,0,0,
South Africa,636,0,
Sudan,11,0,
Swaziland,4,0,
Tanzania,68,0,
Togo,14,0,
Tunisia,39,0,
Uganda,44,0,
Zambia,14,0,
Zimbabwe,82,0,
Afghanistan,4,0,
Bahrain,9,0,
Bangladesh,323,0,
Bhutan,2,0,
Brunei,1,0,
Burma,45,0,
Cambodia,6,0,
China,9451,0,
Taiwan,2537,0,
Hong Kong,405,0,
India,64887,0,
Indonesia,890,0,
Iran,165,0,
Iraq,50,0,
Israel,1179,0,
Japan,3795,0,
Jordan,266,0,
North Korea,2,0,
South Korea,3924,0,
Kuwait,9,0,
Laos,1,0,
Lebanon,338,0,
Macau,25,0,
Malaysia,967,0,
Maldives,5,0,
Mongolia,38,0,
Nepal,390,0,
Oman,8,0,
Pakistan,1293,0,
Palestinian Authority Travel Document,22,0,
Philippines,2823,0,
Qatar,0,0,
Saudi Arabia,29,0,
Singapore,599,286,
Sri Lanka,442,0,
Syria,78,0,
Thailand,573,0,
Timor-Leste,0,0,
United Arab Emirates,5,0,
Vietnam,134,0,
Yemen,3,0,
Albania,83,0,
Andorra,1,0,
Armenia,73,0,
Austria,222,0,
Azerbaijan,38,0,
Belarus,125,0,
Belgium,282,0,
Bosnia and Herzegovina,61,0,
Bulgaria,540,0,
Croatia,135,0,
Cyprus,77,0,
Czech Republic,213,0,
Denmark,237,0,
Estonia,24,0,
Finland,114,0,
France,2373,0,
Georgia,68,0,
Germany,2395,0,
Great Britain and Northern Ireland,4805,0,
Greece,314,0,
Hungary,199,0,
Iceland,45,0,
Ireland,638,0,
Italy,1088,0,
Kazakhstan,85,0,
Kyrgyzstan,13,0,
Latvia,61,0,
Liechtenstein,3,0,
Lithuania,103,0,
Luxembourg,8,0,
Macedonia,48,0,
Malta,7,0,
Moldova,73,0,
Monaco,0,0,
Netherlands,532,0,
Norway,167,0,
Poland,540,0,
Portugal,151,0,
Romania,671,0,
Russia,1203,0,
San Marino,0,0,
Serbia,0,0,
Serbia and Montenegro,330,0,
Slovakia,181,0,
Slovenia,31,0,
Spain,990,0,
Sweden,487,0,
Switzerland,351,0,
Tajikistan,7,0,
Turkey,1660,0,
Turkmenistan,3,0,
Ukraine,329,0,
Uzbekistan,35,0,
Vatican City,0,0,
Antigua and Barbuda,11,0,
The Bahamas,186,0,
Barbados,89,0,
Belize,35,0,
Canada,49,0,
Costa Rica,161,0,
Cuba,2,0,
Dominica,19,0,
Dominican Republic,166,0,
El Salvador,66,0,
Grenada,32,0,
Guatemala,115,0,
Haiti,22,0,
Honduras,106,0,
Jamaica,516,0,
Mexico,2699,0,
Nicaragua,34,0,
Panama,169,0,
Saint Kitts and Nevis,16,0,
Saint Lucia,26,0,
Saint Vincent and the Grenadines,18,0,
Trinidad and Tobago,328,0,
Australia,990,0,
Fiji,4,0,
Kiribati,0,0,
Marshall Islands,0,0,
Federated States of Micronesia,0,0,
Nauru,0,0,
New Zealand,345,0,
Palau,0,0,
Papua New Guinea,0,0,
Samoa,2,0,
Solomon Islands,0,0,
Tonga,0,0,
Tuvalu,0,0,
Vanuatu,0,0,
Argentina,1406,0,
Bolivia,135,0,
Brazil,2039,0,
Chile,262,154,
Colombia,1717,0,
Ecuador,329,0,
Guyana,76,0,
Paraguay,47,0,
Peru,737,0,
Suriname,7,0,
Uruguay,134,0,
Venezuela,1452,0,
