CountryName,H1B,H1B1,133234
Algeria,64,0,
Angola,2,0,
Benin,8,0,
Botswana,3,0,
Burkina Faso,4,0,
Burundi,1,0,
Cameroon,59,0,
Cape Verde,0,0,
Central African Republic,1,0,
Chad,1,0,
Comoros,0,0,
Republic of the Congo,3,0,
Democratic Republic of the Congo,13,0,
Cote dIvoire ,35,0,
Djibouti,0,0,
Egypt,408,0,
Equatorial Guinea,1,0,
Eritrea,1,0,
Ethiopia,36,0,
Gabon,4,0,
The Gambia,5,0,
Ghana,98,0,
Guinea,6,0,
Guinea-Bissau,0,0,
Kenya,167,0,
Lesotho,1,0,
Liberia,9,0,
Libya,2,0,
Madagascar,5,0,
Malawi,8,0,
Mali,13,0,
Mauritania,6,0,
Mauritius,33,0,
Morocco,134,0,
Mozambique,5,0,
Namibia,5,0,
Niger,7,0,
Nigeria,352,0,
Rwanda,1,0,
Sao Tome and Principe,0,0,
Senegal,55,0,
Seychelles,1,0,
Sierra Leone,16,0,
Somalia,5,0,
South Africa,1259,0,
Sudan,43,0,
Swaziland,3,0,
Tanzania,57,0,
Togo,7,0,
Tunisia,45,0,
Uganda,40,0,
Zambia,22,0,
Zimbabwe,91,0,
Afghanistan,7,0,
Bahrain,4,0,
Bangladesh,818,0,
Bhutan,1,0,
Brunei,3,0,
Burma,49,0,
Cambodia,3,0,
China,7489,0,
Taiwan,2712,0,
Hong Kong,251,0,
India,61530,0,
Indonesia,1241,0,
Iran,326,0,
Iraq,126,0,
Israel,1223,0,
Japan,3781,0,
Jordan,417,0,
North Korea,2,0,
South Korea,2296,0,
Kuwait,10,0,
Laos,1,0,
Lebanon,268,0,
Macau,21,0,
Malaysia,1251,0,
Maldives,0,0,
Mongolia,10,0,
Nepal,176,0,
Oman,2,0,
Pakistan,2295,0,
Palestinian Authority Travel Document,30,0,
Philippines,3102,0,
Qatar,2,0,
Saudi Arabia,35,0,
Singapore,600,0,
Sri Lanka,407,0,
Syria,283,0,
Thailand,686,0,
Timor-Leste,0,0,
United Arab Emirates,3,0,
Vietnam,61,0,
Yemen,9,0,
Albania,32,0,
Andorra,1,0,
Armenia,88,0,
Austria,262,0,
Azerbaijan,25,0,
Belarus,231,0,
Belgium,360,0,
Bosnia and Herzegovina,50,0,
Bulgaria,578,0,
Croatia,243,0,
Cyprus,109,0,
Czech Republic,160,0,
Denmark,310,0,
Estonia,38,0,
Finland,150,0,
France,2803,0,
Georgia,47,0,
Germany,2699,0,
Great Britain and Northern Ireland,7304,0,
Greece,379,0,
Hungary,250,0,
Iceland,48,0,
Ireland,627,0,
Italy,1050,0,
Kazakhstan,37,0,
Kyrgyzstan,11,0,
Latvia,45,0,
Liechtenstein,4,0,
Lithuania,87,0,
Luxembourg,7,0,
Macedonia,39,0,
Malta,9,0,
Moldova,38,0,
Monaco,0,0,
Netherlands,795,0,
Norway,229,0,
Poland,407,0,
Portugal,135,0,
Romania,573,0,
Russia,1945,0,
San Marino,0,0,
Serbia and Montenegro,316,0,
Slovakia,105,0,
Slovenia,29,0,
Spain,916,0,
Sweden,659,0,
Switzerland,542,0,
Tajikistan,2,0,
Turkey,1072,0,
Turkmenistan,2,0,
Ukraine,572,0,
Uzbekistan,34,0,
Vatican City,0,0,
Antigua and Barbuda,17,0,
The Bahamas,124,0,
Barbados,46,0,
Belize,23,0,
Canada,95,0,
Costa Rica,110,0,
Cuba,26,0,
Dominica,11,0,
Dominican Republic,142,0,
El Salvador,42,0,
Grenada,22,0,
Guatemala,64,0,
Haiti,18,0,
Honduras,51,0,
Jamaica,217,0,
Mexico,2404,0,
Nicaragua,10,0,
Panama,106,0,
Saint Kitts and Nevis,11,0,
Saint Lucia,17,0,
Saint Vincent and the Grenadines,6,0,
Trinidad and Tobago,232,0,
Australia,1794,0,
Fiji,3,0,
Kiribati,0,0,
Marshall Islands,0,0,
Federated States of Micronesia,0,0,
Nauru,0,0,
New Zealand,521,0,
Palau,0,0,
Papua New Guinea,0,0,
Samoa,0,0,
Solomon Islands,0,0,
Tonga,0,0,
Tuvalu,0,0,
Vanuatu,0,0,
Argentina,817,0,
Bolivia,63,0,
Brazil,1913,0,
Chile,203,0,
Colombia,1200,0,
Ecuador,188,0,
Guyana,28,0,
Paraguay,26,0,
Peru,396,0,
Suriname,15,0,
Uruguay,65,0,
Venezuela,1078,0,
