CountryName,H1B,H1B1,154683
Algeria,31,0,
Angola,10,0,
Benin,8,0,
Botswana,13,0,
Burkina Faso,16,0,
Burundi,2,0,
Cameroon,71,0,
Cape Verde,2,0,
Central African Republic,0,0,
Chad,8,0,
Comoros,0,0,
Republic of the Congo,1,0,
Democratic Republic of the Congo,26,0,
Cote dIvoire,52,0,
Djibouti,0,0,
Egypt,282,0,
Equatorial Guinea,1,0,
Eritrea,3,0,
Ethiopia,39,0,
Gabon,5,0,
The Gambia,6,0,
Ghana,232,0,
Guinea,5,0,
Guinea-Bissau,3,0,
Kenya,363,0,
Lesotho,5,0,
Liberia,3,0,
Libya,10,0,
Madagascar,6,0,
Malawi,8,0,
Mali,11,0,
Mauritania,0,0,
Mauritius,37,0,
Morocco,102,0,
Mozambique,1,0,
Namibia,3,0,
Niger,11,0,
Nigeria,547,0,
Rwanda,7,0,
Sao Tome and Principe,0,0,
Senegal,61,0,
Seychelles,0,0,
Sierra Leone,15,0,
Somalia,0,0,
South Africa,580,0,
Sudan,16,0,
Swaziland,5,0,
Tanzania,76,0,
Togo,10,0,
Tunisia,34,0,
Uganda,43,0,
Zambia,29,0,
Zimbabwe,125,0,
Afghanistan,3,0,
Bahrain,9,0,
Bangladesh,335,0,
Bhutan,1,0,
Brunei,1,0,
Burma,53,0,
Cambodia,9,0,
China,10761,0,
Taiwan,2506,0,
Hong Kong,442,0,
India,83464,0,
Indonesia,1007,0,
Iran,171,0,
Iraq,42,0,
Israel,1075,0,
Japan,3516,0,
Jordan,257,0,
North Korea,0,0,
South Korea,3788,0,
Kuwait,8,0,
Laos,3,0,
Lebanon,368,0,
Macau,29,0,
Malaysia,926,0,
Maldives,2,0,
Mongolia,25,0,
Nepal,446,0,
Oman,5,0,
Pakistan,1233,0,
Palestinian Authority Travel Document,19,0,
Philippines,4279,0,
Qatar,1,0,
Saudi Arabia,18,0,
Singapore,532,416,
Sri Lanka,336,0,
Syria,95,0,
Thailand,534,0,
Timor-Leste,0,0,
United Arab Emirates,2,0,
Vietnam,202,0,
Yemen,13,0,
Albania,92,0,
Andorra,0,0,
Armenia,64,0,
Austria,218,0,
Azerbaijan,34,0,
Belarus,131,0,
Belgium,243,0,
Bosnia and Herzegovina,69,0,
Bulgaria,529,0,
Croatia,133,0,
Cyprus,74,0,
Czech Republic,162,0,
Denmark,208,0,
Estonia,44,0,
Finland,103,0,
France,2190,0,
Georgia,68,0,
Germany,2100,0,
Great Britain and Northern Ireland,4475,0,
Greece,338,0,
Hungary,186,0,
Iceland,39,0,
Ireland,633,0,
Italy,974,0,
Kazakhstan,76,0,
Kyrgyzstan,22,0,
Latvia,54,0,
Liechtenstein,0,0,
Lithuania,118,0,
Luxembourg,8,0,
Macedonia,33,0,
Malta,8,0,
Moldova,79,0,
Monaco,1,0,
Netherlands,516,0,
Norway,120,0,
Poland,541,0,
Portugal,162,0,
Romania,603,0,
Russia,1150,0,
San Marino,0,0,
Serbia and Montenegro,343,0,
Slovakia,169,0,
Slovenia,31,0,
Spain,879,0,
Sweden,422,0,
Switzerland,330,0,
Tajikistan,6,0,
Turkey,1606,0,
Turkmenistan,10,0,
Ukraine,307,0,
Uzbekistan,38,0,
Vatican City,0,0,
Antigua and Barbuda,17,0,
The Bahamas,176,0,
Barbados,95,0,
Belize,26,0,
Canada,42,0,
Costa Rica,166,0,
Cuba,3,0,
Dominica,27,0,
Dominican Republic,192,0,
El Salvador,77,0,
Grenada,39,0,
Guatemala,110,0,
Haiti,33,0,
Honduras,98,0,
Jamaica,541,0,
Mexico,2905,0,
Nicaragua,39,0,
Panama,156,0,
Saint Kitts and Nevis,13,0,
Saint Lucia,22,0,
Saint Vincent and the Grenadines,9,0,
Trinidad and Tobago,320,0,
Australia,695,0,
Fiji,2,0,
Kiribati,1,0,
Marshall Islands,0,0,
Federated States of Micronesia,0,0,
Nauru,0,0,
New Zealand,344,0,
Palau,0,0,
Papua New Guinea,1,0,
Samoa,0,0,
Solomon Islands,0,0,
Tonga,0,0,
Tuvalu,0,0,
Vanuatu,0,0,
Argentina,1185,0,
Bolivia,127,0,
Brazil,1938,0,
Chile,269,223,
Colombia,1631,0,
Ecuador,324,0,
Guyana,53,0,
Paraguay,35,0,
Peru,755,0,
Suriname,7,0,
Uruguay,110,0,
Venezuela,1282,0,
